MSOA11CD,MSOA11NM,Indicator Name,Value,Lower Limit,Upper Limit
E02005921,Cherwell 001,Emergency Admissions for Myocardial Infarction ,68.9,48,95.8
E02005922,Cherwell 002,Emergency Admissions for Myocardial Infarction ,91.1,64.5,125.1
E02005923,Cherwell 003,Emergency Admissions for Myocardial Infarction ,155.7,116.6,203.7
E02005924,Cherwell 004,Emergency Admissions for Myocardial Infarction ,119.4,93.2,150.6
E02005925,Cherwell 005,Emergency Admissions for Myocardial Infarction ,160.1,124.8,202.2
E02005926,Cherwell 006,Emergency Admissions for Myocardial Infarction ,84.5,64.5,108.8
E02005927,Cherwell 007,Emergency Admissions for Myocardial Infarction ,98,69,135.1
E02005928,Cherwell 008,Emergency Admissions for Myocardial Infarction ,88.1,67.5,112.9
E02005929,Cherwell 009,Emergency Admissions for Myocardial Infarction ,60.4,42.1,84.1
E02005930,Cherwell 010,Emergency Admissions for Myocardial Infarction ,71.3,52,95.5
E02005931,Cherwell 011,Emergency Admissions for Myocardial Infarction ,91.4,68.6,119.2
E02005932,Cherwell 012,Emergency Admissions for Myocardial Infarction ,83,53.7,122.6
E02005933,Cherwell 013,Emergency Admissions for Myocardial Infarction ,138.2,105.9,177.1
E02005934,Cherwell 014,Emergency Admissions for Myocardial Infarction ,102.6,78.9,131.3
E02005935,Cherwell 015,Emergency Admissions for Myocardial Infarction ,96.7,69.4,131.2
E02005936,Cherwell 016,Emergency Admissions for Myocardial Infarction ,74.6,56.2,97.1
E02005937,Cherwell 017,Emergency Admissions for Myocardial Infarction ,93.7,70.6,121.9
E02005938,Cherwell 018,Emergency Admissions for Myocardial Infarction ,82.3,56.7,115.6
E02005939,Cherwell 019,Emergency Admissions for Myocardial Infarction ,66.5,46.1,92.9
E02005940,Oxford 001,Emergency Admissions for Myocardial Infarction ,76.5,53.3,106.5
E02005941,Oxford 002,Emergency Admissions for Myocardial Infarction ,53.4,34.2,79.5
E02005942,Oxford 003,Emergency Admissions for Myocardial Infarction ,30.7,15.8,53.6
E02005943,Oxford 004,Emergency Admissions for Myocardial Infarction ,79.7,55.2,111.4
E02005944,Oxford 005,Emergency Admissions for Myocardial Infarction ,149.6,112.4,195.2
E02005945,Oxford 006,Emergency Admissions for Myocardial Infarction ,50.8,33.7,73.4
E02005946,Oxford 007,Emergency Admissions for Myocardial Infarction ,74.5,51.9,103.6
E02005947,Oxford 008,Emergency Admissions for Myocardial Infarction ,74,45.8,113.1
E02005948,Oxford 009,Emergency Admissions for Myocardial Infarction ,65,39.1,101.5
E02005949,Oxford 010,Emergency Admissions for Myocardial Infarction ,110.6,75.7,156.2
E02005950,Oxford 011,Emergency Admissions for Myocardial Infarction ,110.8,78.4,152.1
E02005951,Oxford 012,Emergency Admissions for Myocardial Infarction ,88.1,58.1,128.2
E02005952,Oxford 013,Emergency Admissions for Myocardial Infarction ,120.2,93.5,152.1
E02005953,Oxford 014,Emergency Admissions for Myocardial Infarction ,122.5,82,176
