LSOA11CD,LSOA11NM,District
E01028488,Cherwell 019A,Cherwell
E01028657,South Oxfordshire 006E,South Oxfordshire
E01028651,South Oxfordshire 016B,South Oxfordshire
E01028583,Oxford 003B,Oxford
E01028510,Cherwell 019B,Cherwell
E01028671,South Oxfordshire 003B,South Oxfordshire
E01028449,Cherwell 005A,Cherwell
E01028719,Vale of White Horse 009D,Vale of White Horse
E01028519,Oxford 017C,Oxford
E01028501,Cherwell 016E,Cherwell
E01028515,Oxford 007A,Oxford
E01032941,Cherwell 004G,Cherwell
E01028425,Cherwell 011A,Cherwell
E01028679,South Oxfordshire 008B,South Oxfordshire
E01028774,West Oxfordshire 014C,West Oxfordshire
E01028523,Oxford 010A,Oxford
E01028669,South Oxfordshire 001D,South Oxfordshire
E01028737,Vale of White Horse 007C,Vale of White Horse
E01028433,Cherwell 006D,Cherwell
E01028792,West Oxfordshire 007B,West Oxfordshire
E01028453,Cherwell 005E,Cherwell
E01032554,Oxford 002F,Oxford
E01028504,Cherwell 009E,Cherwell
E01028668,South Oxfordshire 001C,South Oxfordshire
E01028793,West Oxfordshire 007C,West Oxfordshire
E01028735,Vale of White Horse 002C,Vale of White Horse
E01028824,West Oxfordshire 004E,West Oxfordshire
E01028677,South Oxfordshire 012F,South Oxfordshire
E01028720,Vale of White Horse 016G,Vale of White Horse
E01028555,Oxford 016D,Oxford
E01028761,Vale of White Horse 014F,Vale of White Horse
E01028795,West Oxfordshire 002A,West Oxfordshire
E01028427,Cherwell 007B,Cherwell
E01028562,Oxford 004C,Oxford
E01028599,South Oxfordshire 011A,South Oxfordshire
E01028742,Vale of White Horse 002F,Vale of White Horse
E01028618,South Oxfordshire 015A,South Oxfordshire
E01028484,Cherwell 011E,Cherwell
E01028480,Cherwell 001B,Cherwell
E01028550,Oxford 009C,Oxford
E01028612,South Oxfordshire 019A,South Oxfordshire
E01028607,South Oxfordshire 006C,South Oxfordshire
E01032952,West Oxfordshire 008I,West Oxfordshire
E01028801,West Oxfordshire 015C,West Oxfordshire
E01028533,Oxford 013C,Oxford
E01028822,West Oxfordshire 009D,West Oxfordshire
E01028493,Cherwell 018B,Cherwell
E01028561,Oxford 004B,Oxford
E01028580,Oxford 011B,Oxford
E01028619,South Oxfordshire 015B,South Oxfordshire
E01028819,West Oxfordshire 010F,West Oxfordshire
E01028502,Cherwell 016F,Cherwell
E01028754,Vale of White Horse 010E,Vale of White Horse
E01028644,South Oxfordshire 015C,South Oxfordshire
E01028658,South Oxfordshire 006F,South Oxfordshire
E01028682,South Oxfordshire 004D,South Oxfordshire
E01028715,Vale of White Horse 016F,Vale of White Horse
E01028703,Vale of White Horse 006F,Vale of White Horse
E01028552,Oxford 016A,Oxford
E01028444,Cherwell 002D,Cherwell
E01028457,Cherwell 013C,Cherwell
E01028696,Vale of White Horse 006B,Vale of White Horse
E01028817,West Oxfordshire 010D,West Oxfordshire
E01028581,Oxford 011C,Oxford
E01028699,Vale of White Horse 005D,Vale of White Horse
E01028694,Vale of White Horse 004B,Vale of White Horse
E01028543,Oxford 012C,Oxford
E01028709,Vale of White Horse 001B,Vale of White Horse
E01028772,West Oxfordshire 013D,West Oxfordshire
E01028794,West Oxfordshire 007D,West Oxfordshire
E01028608,South Oxfordshire 012A,South Oxfordshire
E01028717,Vale of White Horse 009B,Vale of White Horse
